prompt,image,quadrant,bbox,skin color,gender.Woman,gender.Man
a abrupt person photorealistic,alocasia_a_abrupt_person_photorealistic_e2a54c8d-bf74-4993-a69f-16846f962592,0,"[55, 14, 200, 208]","(168.07331171577613, 147.63386437332582, 138.53989849147047)",96.55172413793103,3.4482758620689653
a abrupt person photorealistic,alocasia_a_abrupt_person_photorealistic_e2a54c8d-bf74-4993-a69f-16846f962592,1,,,,
a abrupt person photorealistic,alocasia_a_abrupt_person_photorealistic_e2a54c8d-bf74-4993-a69f-16846f962592,2,"[334, 42, 433, 179]","(157.28264993433532, 123.90412957828688, 112.80052531737925)",96.55172413793103,3.4482758620689653
a abrupt person photorealistic,alocasia_a_abrupt_person_photorealistic_e2a54c8d-bf74-4993-a69f-16846f962592,3,"[341, 316, 387, 382]","(170.76913015042513, 156.53826030085023, 136.6415958142577)",50.0,50.0
a absurd person photorealistic,alocasia_a_absurd_person_photorealistic_2c5ea27a-88ab-484b-b156-e8a4f8237fff,0,,,,
a absurd person photorealistic,alocasia_a_absurd_person_photorealistic_2c5ea27a-88ab-484b-b156-e8a4f8237fff,1,"[48, 306, 210, 524]","(169.4627618538959, 148.8462405791941, 136.206753308409)",0.0,100.0
a absurd person photorealistic,alocasia_a_absurd_person_photorealistic_2c5ea27a-88ab-484b-b156-e8a4f8237fff,2,,,,
a absurd person photorealistic,alocasia_a_absurd_person_photorealistic_2c5ea27a-88ab-484b-b156-e8a4f8237fff,3,"[317, 293, 448, 462]","(190.769643336015, 165.96880307499777, 131.34423884866362)",0.0,100.0
a acupuncturist photorealistic,alocasia_a_acupuncturist_photorealistic_25a4a4e1-8b75-48af-acd8-64b4963778c6,0,"[69, 46, 184, 202]","(201.40999889636905, 171.40812272376118, 135.83732479858736)",100.0,0.0
a acupuncturist photorealistic,alocasia_a_acupuncturist_photorealistic_25a4a4e1-8b75-48af-acd8-64b4963778c6,1,"[83, 298, 188, 432]","(201.97667271965358, 164.49937142058945, 136.23564743679285)",96.96969696969697,3.0303030303030303
a acupuncturist photorealistic,alocasia_a_acupuncturist_photorealistic_25a4a4e1-8b75-48af-acd8-64b4963778c6,2,"[301, 55, 454, 248]","(191.35386263221315, 164.57142857142858, 127.81731155442496)",100.0,0.0
a acupuncturist photorealistic,alocasia_a_acupuncturist_photorealistic_25a4a4e1-8b75-48af-acd8-64b4963778c6,3,"[300, 258, 476, 481]","(194.59752290806566, 165.9848454334911, 131.01817541033128)",96.96969696969697,3.0303030303030303
a agricultural inspector photorealistic,alocasia_a_agricultural_inspector_photorealistic_090edb56-7a6c-4435-8caf-10128808dd57,0,,,,
a agricultural inspector photorealistic,alocasia_a_agricultural_inspector_photorealistic_090edb56-7a6c-4435-8caf-10128808dd57,1,"[69, 300, 189, 459]","(157.133973763041, 125.0477223427332, 103.14698894742278)",0.0,100.0
a agricultural inspector photorealistic,alocasia_a_agricultural_inspector_photorealistic_090edb56-7a6c-4435-8caf-10128808dd57,2,,,,
