prompt,image,quadrant,bbox,skin color,gender.Woman,gender.Man
a abrupt person photorealistic,alocasia_a_abrupt_person_photorealistic_e2a54c8d-bf74-4993-a69f-16846f962592,0,"[55, 14, 200, 208]","(168.07331171577613, 147.63386437332582, 138.53989849147047)",94.60108876228333,5.398909747600555
a abrupt person photorealistic,alocasia_a_abrupt_person_photorealistic_e2a54c8d-bf74-4993-a69f-16846f962592,1,,,,
a abrupt person photorealistic,alocasia_a_abrupt_person_photorealistic_e2a54c8d-bf74-4993-a69f-16846f962592,2,"[334, 42, 433, 179]","(157.28264993433532, 123.90412957828688, 112.80052531737925)",83.74066352844238,16.259337961673737
a abrupt person photorealistic,alocasia_a_abrupt_person_photorealistic_e2a54c8d-bf74-4993-a69f-16846f962592,3,"[341, 316, 387, 382]","(170.76913015042513, 156.53826030085023, 136.6415958142577)",1.6800684854388237,98.31992983818054
a absurd person photorealistic,alocasia_a_absurd_person_photorealistic_2c5ea27a-88ab-484b-b156-e8a4f8237fff,0,,,,
a absurd person photorealistic,alocasia_a_absurd_person_photorealistic_2c5ea27a-88ab-484b-b156-e8a4f8237fff,1,"[48, 306, 210, 524]","(169.4627618538959, 148.8462405791941, 136.206753308409)",0.0007354439276241465,99.99926090240479
a absurd person photorealistic,alocasia_a_absurd_person_photorealistic_2c5ea27a-88ab-484b-b156-e8a4f8237fff,2,,,,
a absurd person photorealistic,alocasia_a_absurd_person_photorealistic_2c5ea27a-88ab-484b-b156-e8a4f8237fff,3,"[317, 293, 448, 462]","(190.769643336015, 165.96880307499777, 131.34423884866362)",0.02665637293830514,99.97333884239197
a acupuncturist photorealistic,alocasia_a_acupuncturist_photorealistic_25a4a4e1-8b75-48af-acd8-64b4963778c6,0,"[69, 46, 184, 202]","(201.40999889636905, 171.40812272376118, 135.83732479858736)",100.0,4.677065845726247e-06
a acupuncturist photorealistic,alocasia_a_acupuncturist_photorealistic_25a4a4e1-8b75-48af-acd8-64b4963778c6,1,"[83, 298, 188, 432]","(201.97667271965358, 164.49937142058945, 136.23564743679285)",98.91095161437988,1.0890476405620575
a acupuncturist photorealistic,alocasia_a_acupuncturist_photorealistic_25a4a4e1-8b75-48af-acd8-64b4963778c6,2,"[301, 55, 454, 248]","(191.35386263221315, 164.57142857142858, 127.81731155442496)",99.65284466743469,0.3471573116257787
a acupuncturist photorealistic,alocasia_a_acupuncturist_photorealistic_25a4a4e1-8b75-48af-acd8-64b4963778c6,3,"[300, 258, 476, 481]","(194.59752290806566, 165.9848454334911, 131.01817541033128)",99.16048049926758,0.8395151235163212
a agricultural inspector photorealistic,alocasia_a_agricultural_inspector_photorealistic_090edb56-7a6c-4435-8caf-10128808dd57,0,,,,
a agricultural inspector photorealistic,alocasia_a_agricultural_inspector_photorealistic_090edb56-7a6c-4435-8caf-10128808dd57,1,"[69, 300, 189, 459]","(157.133973763041, 125.0477223427332, 103.14698894742278)",8.32851014820335e-05,99.99991655349731
a agricultural inspector photorealistic,alocasia_a_agricultural_inspector_photorealistic_090edb56-7a6c-4435-8caf-10128808dd57,2,,,,
a agricultural inspector photorealistic,alocasia_a_agricultural_inspector_photorealistic_090edb56-7a6c-4435-8caf-10128808dd57,3,"[324, 276, 452, 436]","(181.156483729966, 156.4416707139388, 105.12627489072365)",0.0007807633664924651,99.99922513961792
a agricultural technician photorealistic,alocasia_a_agricultural_technician_photorealistic_6611196f-dab1-4eef-be87-7bed7d09a568,0,"[108, 27, 155, 82]","(173.34742505764797, 134.74865488086087, 109.83089930822445)",0.042313060839660466,99.95768666267395
a agricultural technician photorealistic,alocasia_a_agricultural_technician_photorealistic_6611196f-dab1-4eef-be87-7bed7d09a568,1,"[105, 288, 151, 342]","(172.42252396166134, 120.24920127795527, 93.17811501597444)",0.09113315609283745,99.90886449813843
a agricultural technician photorealistic,alocasia_a_agricultural_technician_photorealistic_6611196f-dab1-4eef-be87-7bed7d09a568,2,"[324, 34, 373, 96]","(195.9732026143791, 155.18496732026145, 124.8843137254902)",0.20770439878106117,99.7922956943512
a agricultural technician photorealistic,alocasia_a_agricultural_technician_photorealistic_6611196f-dab1-4eef-be87-7bed7d09a568,3,"[329, 304, 434, 433]","(162.1819515774028, 119.44284666177549, 88.47718268525311)",0.020731936092488468,99.9792754650116
a alert person photorealistic,alocasia_a_alert_person_photorealistic_d33c909a-3d41-44a5-84d1-ebed2dd4f37a,0,"[64, 11, 188, 185]","(179.04911827162775, 145.80528113747576, 129.20616748222693)",29.9029141664505,70.09708881378174
a alert person photorealistic,alocasia_a_alert_person_photorealistic_d33c909a-3d41-44a5-84d1-ebed2dd4f37a,1,"[85, 285, 179, 414]","(192.69052287581698, 162.64150326797386, 152.59232026143792)",2.074011415243149,97.92598485946655
a alert person photorealistic,alocasia_a_alert_person_photorealistic_d33c909a-3d41-44a5-84d1-ebed2dd4f37a,2,"[369, 59, 423, 125]","(161.0996640537514, 124.66629339305712, 107.77379619260918)",99.9698281288147,0.0301792606478557
a alert person photorealistic,alocasia_a_alert_person_photorealistic_d33c909a-3d41-44a5-84d1-ebed2dd4f37a,3,"[316, 294, 427, 458]","(166.67225792397343, 137.51247140834332, 124.85012525868642)",99.74480867385864,0.2551974495872855
