word,neg,neu,pos,compound,sentiment_cat
able,0.0,1.0,0.0,0.0,3
abnormal,0.0,1.0,0.0,0.0,3
abrasive,0.0,1.0,0.0,0.0,3
abrupt,0.0,1.0,0.0,0.0,3
absent-minded,0.0,1.0,0.0,0.0,3
abstemious,0.0,1.0,0.0,0.0,3
abstinent,0.0,1.0,0.0,0.0,3
abstract,0.0,1.0,0.0,0.0,3
abstruse,0.0,1.0,0.0,0.0,3
absurd,0.0,1.0,0.0,0.0,3
abusive,1.0,0.0,0.0,-0.6369,1
academic,0.0,1.0,0.0,0.0,3
acceptant,0.0,0.0,1.0,0.3818,4
accepting,0.0,0.0,1.0,0.3818,4
accessible,0.0,1.0,0.0,0.0,3
accommodating,0.0,1.0,0.0,0.0,3
accomplished,0.0,0.0,1.0,0.4404,5
accountable,0.0,1.0,0.0,0.0,3
accurate,0.0,1.0,0.0,0.0,3
accusing,1.0,0.0,0.0,-0.1779,2
acerbic,0.0,1.0,0.0,0.0,3
acid,0.0,1.0,0.0,0.0,3
acquiescent,0.0,1.0,0.0,0.0,3
acquisitive,0.0,1.0,0.0,0.0,3
acrid,0.0,1.0,0.0,0.0,3
acrimonious,1.0,0.0,0.0,-0.4019,1
active,0.0,0.0,1.0,0.4019,5
adaptable,0.0,1.0,0.0,0.0,3
adaptive,0.0,1.0,0.0,0.0,3
adjustable,0.0,1.0,0.0,0.0,3
admirable,0.0,0.0,1.0,0.5574,5
admonitory,0.0,1.0,0.0,0.0,3
adorable,0.0,0.0,1.0,0.4939,5
adroit,0.0,1.0,0.0,0.0,3
adulatory,0.0,1.0,0.0,0.0,3
adulterous,0.0,1.0,0.0,0.0,3
adventurous,0.0,0.0,1.0,0.34,4
adversarial,1.0,0.0,0.0,-0.3612,2
aesthetic,0.0,1.0,0.0,0.0,3
affable,0.0,1.0,0.0,0.0,3
affected,1.0,0.0,0.0,-0.1531,2
affectionate,0.0,0.0,1.0,0.4404,5
affirmative,0.0,1.0,0.0,0.0,3
afraid,0.0,1.0,0.0,0.0,3
aggravating,1.0,0.0,0.0,-0.296,2
aggressive,1.0,0.0,0.0,-0.1531,2
agitable,0.0,1.0,0.0,0.0,3
agitated,1.0,0.0,0.0,-0.4588,1
agitative,1.0,0.0,0.0,-0.3182,2
agreeable,0.0,0.0,1.0,0.4215,5
aimful,0.0,1.0,0.0,0.0,3
aimless,0.0,1.0,0.0,0.0,3
airy,0.0,1.0,0.0,0.0,3
alarmable,0.0,1.0,0.0,0.0,3
alcoholic,0.0,1.0,0.0,0.0,3
alert,0.0,0.0,1.0,0.296,4
alive,0.0,0.0,1.0,0.3818,4
alone,1.0,0.0,0.0,-0.25,2
aloof,0.0,1.0,0.0,0.0,3
altruistic,0.0,1.0,0.0,0.0,3
amazing,0.0,0.0,1.0,0.5859,5
ambiguous,0.0,1.0,0.0,0.0,3
ambitious,0.0,0.0,1.0,0.4767,5
ambivalent,0.0,0.0,1.0,0.128,4
amenable,0.0,1.0,0.0,0.0,3
amiable,0.0,1.0,0.0,0.0,3
amicable,0.0,1.0,0.0,0.0,3
amorous,0.0,0.0,1.0,0.4215,5
amusing,0.0,0.0,1.0,0.3818,4
analytical,0.0,1.0,0.0,0.0,3
anarchistic,0.0,1.0,0.0,0.0,3
anecdotal,0.0,1.0,0.0,0.0,3
angelic,0.0,1.0,0.0,0.0,3
angry,1.0,0.0,0.0,-0.5106,1
animated,0.0,1.0,0.0,0.0,3
annoyed,1.0,0.0,0.0,-0.3818,2
annoying,1.0,0.0,0.0,-0.4019,1
antagonistic,1.0,0.0,0.0,-0.4019,1
antagonizing,1.0,0.0,0.0,-0.5719,1
anticipative,0.0,1.0,0.0,0.0,3
antisocial,0.0,1.0,0.0,0.0,3
anxious,1.0,0.0,0.0,-0.25,2
apathetic,1.0,0.0,0.0,-0.296,2
aphoristic,0.0,1.0,0.0,0.0,3
apolitical,0.0,1.0,0.0,0.0,3
apologetic,0.0,1.0,0.0,0.0,3
appealing,0.0,1.0,0.0,0.0,3
appeasing,0.0,0.0,1.0,0.25,4
appreciated,0.0,0.0,1.0,0.5106,5
appreciative,0.0,0.0,1.0,0.5574,5
apprehensive,0.0,1.0,0.0,0.0,3
approachable,0.0,1.0,0.0,0.0,3
arbitrary,0.0,1.0,0.0,0.0,3
arbitrative,0.0,1.0,0.0,0.0,3
ardent,0.0,0.0,1.0,0.4767,5
argumentative,1.0,0.0,0.0,-0.3612,2
aristocratic,0.0,1.0,0.0,0.0,3
arrogant,1.0,0.0,0.0,-0.4939,1
artful,0.0,1.0,0.0,0.0,3
articulate,0.0,1.0,0.0,0.0,3
artificial,0.0,1.0,0.0,0.0,3
artistic,0.0,1.0,0.0,0.0,3
artless,0.0,1.0,0.0,0.0,3
artsy,0.0,1.0,0.0,0.0,3
