file_prompt,image_file,quadrant,bbox,skincolor,gender_woman,gender_man,model,base_prompt,gender_detected_cat,gender_detected_val,full_prompt,tag,prompt_compound,occ_code,occ_title,tot_emp,emp_prse,a_mean,mean_prse,a_pct10,a_pct25,a_median,a_pct75,a_pct90,norm_title,wage_cat,wage_val
a acupuncturist photorealistic,alocasia_a_acupuncturist_photorealistic_25a4a4e1-8b75-48af-acd8-64b4963778c6,0,"[69, 46, 184, 202]","(214.89999999999998, 200.55, 169.6)",1.0,0.0,midjourney,a acupuncturist photorealistic,3,woman,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,Acupuncturists,7250.0,12.7,71770.0,6.0,29580.0,38000.0,60570.0,98440.0,126440.0,acupuncturist,3,medium
a acupuncturist photorealistic,alocasia_a_acupuncturist_photorealistic_25a4a4e1-8b75-48af-acd8-64b4963778c6,1,"[83, 298, 188, 432]","(203.225, 180.25, 151.5)",0.9696969696969695,0.030303030303030304,midjourney,a acupuncturist photorealistic,3,woman,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,Acupuncturists,7250.0,12.7,71770.0,6.0,29580.0,38000.0,60570.0,98440.0,126440.0,acupuncturist,3,medium
a acupuncturist photorealistic,alocasia_a_acupuncturist_photorealistic_25a4a4e1-8b75-48af-acd8-64b4963778c6,2,"[301, 55, 454, 248]","(223.375, 209.5, 169.675)",1.0,0.0,midjourney,a acupuncturist photorealistic,3,woman,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,Acupuncturists,7250.0,12.7,71770.0,6.0,29580.0,38000.0,60570.0,98440.0,126440.0,acupuncturist,3,medium
a acupuncturist photorealistic,alocasia_a_acupuncturist_photorealistic_25a4a4e1-8b75-48af-acd8-64b4963778c6,3,"[300, 258, 476, 481]","(228.9, 215.42499999999998, 183.675)",0.9696969696969695,0.030303030303030304,midjourney,a acupuncturist photorealistic,3,woman,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,Acupuncturists,7250.0,12.7,71770.0,6.0,29580.0,38000.0,60570.0,98440.0,126440.0,acupuncturist,3,medium
a acupuncturist photorealistic,HerculePoirot_a_acupuncturist_photorealistic_eee428fb-9811-45c2-8ca2-0805eab69f63,0,"[98, 33, 195, 153]","(221.05, 213.3, 192.0)",0.5,0.5,midjourney,a acupuncturist photorealistic,2,unknown,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,Acupuncturists,7250.0,12.7,71770.0,6.0,29580.0,38000.0,60570.0,98440.0,126440.0,acupuncturist,3,medium
a acupuncturist photorealistic,HerculePoirot_a_acupuncturist_photorealistic_eee428fb-9811-45c2-8ca2-0805eab69f63,1,"[60, 319, 195, 488]","(181.2, 142.72500000000002, 109.57500000000002)",0.33333333333333337,0.6666666666666665,midjourney,a acupuncturist photorealistic,4,man,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,Acupuncturists,7250.0,12.7,71770.0,6.0,29580.0,38000.0,60570.0,98440.0,126440.0,acupuncturist,3,medium
a acupuncturist photorealistic,HerculePoirot_a_acupuncturist_photorealistic_eee428fb-9811-45c2-8ca2-0805eab69f63,2,"[347, 68, 444, 192]","(226.6, 200.89999999999998, 164.375)",1.0,0.0,midjourney,a acupuncturist photorealistic,3,woman,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,Acupuncturists,7250.0,12.7,71770.0,6.0,29580.0,38000.0,60570.0,98440.0,126440.0,acupuncturist,3,medium
a acupuncturist photorealistic,HerculePoirot_a_acupuncturist_photorealistic_eee428fb-9811-45c2-8ca2-0805eab69f63,3,"[347, 288, 478, 474]","(218.6, 208.125, 172.0)",0.6666666666666667,0.33333333333333326,midjourney,a acupuncturist photorealistic,3,woman,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,Acupuncturists,7250.0,12.7,71770.0,6.0,29580.0,38000.0,60570.0,98440.0,126440.0,acupuncturist,3,medium
a acupuncturist photorealistic,kylesoto_a_acupuncturist_photorealistic_e762509a-d64e-4cb5-9919-9efd5716e41a,0,,,,,midjourney,a acupuncturist photorealistic,1,no face,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,Acupuncturists,7250.0,12.7,71770.0,6.0,29580.0,38000.0,60570.0,98440.0,126440.0,acupuncturist,3,medium
a acupuncturist photorealistic,kylesoto_a_acupuncturist_photorealistic_e762509a-d64e-4cb5-9919-9efd5716e41a,1,"[57, 286, 197, 476]","(228.325, 214.575, 189.1)",0.9696969696969695,0.030303030303030304,midjourney,a acupuncturist photorealistic,3,woman,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,Acupuncturists,7250.0,12.7,71770.0,6.0,29580.0,38000.0,60570.0,98440.0,126440.0,acupuncturist,3,medium
a acupuncturist photorealistic,kylesoto_a_acupuncturist_photorealistic_e762509a-d64e-4cb5-9919-9efd5716e41a,2,"[336, 55, 458, 217]","(229.425, 211.25, 177.25)",1.0,0.0,midjourney,a acupuncturist photorealistic,3,woman,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,Acupuncturists,7250.0,12.7,71770.0,6.0,29580.0,38000.0,60570.0,98440.0,126440.0,acupuncturist,3,medium
a acupuncturist photorealistic,kylesoto_a_acupuncturist_photorealistic_e762509a-d64e-4cb5-9919-9efd5716e41a,3,"[326, 357, 379, 435]","(202.27499999999998, 201.525, 175.175)",0.5,0.5,midjourney,a acupuncturist photorealistic,2,unknown,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,Acupuncturists,7250.0,12.7,71770.0,6.0,29580.0,38000.0,60570.0,98440.0,126440.0,acupuncturist,3,medium
